_id,Annee,1993,1994,1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,Tunis,11100,9400,9970,9460,9150,8580,8390,8510,8950,7320,7750,8080,8590,8590,10710,14180,16800,18800,14040,17240,17610,18880,17500,16100
2,Ariana,101520,66100,93080,102480,87670,93380,21000,33580,28280,32150,31860,37620,35770,35770,40010,41320,39100,41100,30470,32790,31150,32400,29950,34500
4,Ben Arous,62030,57700,48450,53410,42630,42630,41330,43140,41330,41330,44490,46420,47800,47800,46940,46950,49280,51100,42640,41270,47370,45700,46450,51390
5,Nabeul,285150,184600,178600,181310,178790,185700,188010,191510,191070,214300,244830,261400,269120,269120,244260,250000,236000,238830,235290,235400,235500,224020,210000,211000
6,Bizerte,175000,272800,255260,302230,295280,287460,276060,277020,251890,244400,250740,274120,265540,265540,263700,246210,233290,233400,222300,217620,194880,199670,202180,219540
7,Béja,385000,322800,320580,300600,323660,368490,454060,416980,395600,408050,414170,431110,437050,437050,435710,446510,399400,362920,366760,369580,370430,357560,341440,343800
8,Jendouba,208400,211000,197020,189500,188830,183770,183820,181290,185870,183370,187320,194250,206160,206160,214870,216180,226320,225500,231920,232150,230700,232550,223710,213110
10,Siliana,775200,492000,507800,506220,507280,583770,603660,522740,506090,533010,610240,604320,643530,643530,669000,683760,703000,686000,742000,740000,580000,494000,410000,404000
11,Zaghouan,328120,224000,283240,239250,326590,386510,317040,401980,385150,389580,394920,371280,373900,373900,371000,387450,379400,380680,358060,361580,365290,366630,370260,371950
12,Sousse,214890,215000,181900,184880,197100,203300,196000,193500,160800,198500,182500,216000,239000,239000,267200,285720,274700,308400,315250,286000,293623,254530,260010,276050
13,Monastir,257910,109600,121780,135200,128520,119900,114880,120340,107410,112770,122860,123430,122960,122960,95780,91090,87870,89970,98440,102820,105390,117280,125850,134800
14,Mahdia,77390,244200,308600,254650,182230,177000,173050,177600,178500,165000,173250,180400,188450,188450,192100,190100,184100,185850,195650,199200,203100,229500,239000,235420
15,Sfax,374900,380800,330000,330900,350770,368000,344030,339500,386100,393310,394400,425370,420900,420900,442200,434500,315000,285000,256500,274780,279460,280000,283210,286040
16,Kairouan,692590,565300,561650,649440,589460,572910,535460,583450,574900,591220,601370,740330,718960,718960,649050,661700,642030,637640,634970,634700,718600,718670,720220,729230
17,Kasserine,719860,470300,465720,505930,535300,593270,533610,559260,590240,668450,685710,684980,699530,699530,650740,647610,626100,642940,639570,619390,567450,562500,537350,548000
18,Sidi Bouzid,738150,705300,934490,627830,624680,613080,610110,575000,585160,594200,605380,625510,663620,663620,665590,671550,674500,671000,633500,635000,663000,662200,582000,537000
19,Gafsa,275110,275100,345620,341520,341520,391520,391230,390030,389860,416300,446550,420580,416780,416780,388400,363490,363500,343880,341550,323780,190010,185430,202300,201204
20,Gabès,374680,262900,344580,368810,298000,314100,367200,327800,292000,344950,354920,358600,369500,369500,324580,305270,305590,294240,260130,220370,240270,245130,247090,250000
22,Tozeur,54100,52000,56850,55600,55000,60000,65000,60010,60500,61000,62000,61000,65000,65000,60000,58000,53000,52000,46150,47200,65000,60500,93080,113000
23,Kébili,134700,64000,83300,65000,133650,150680,150680,150730,116000,100010,101000,100000,106190,106190,104900,96810,96600,89410,79400,81500,90100,110000,107400,115000
