_id,Annee,Delegation,Bovin_tete,Ovin_tete,Caprin_tete,Camelin_tete,Nombre_apiculteurs,Nombre_ ruches modernes,Nombre_ruches traditionnels,Nombre_poulaillers d'oeuf actifs,Capacite_poullaillers d'oeufs actifs,Nombre_poulaillers de viande actifs,Capacite_poulaillers de viande actifs,Nombre_poulalier de caille a viande,Capacite_poulailler de caille a viande,Nombre_unites femelles pour les batiments d'elevage cunicole mo,Nombre_eleveurs ayant des batiments d'elevage cunicole  moderne,Nombre_unites femelles pour les batiments d'elevage cunicole tr,Nombre des eleveurs ayant des batiments d'elevage cunicole  tra,Production de viande cunicole (tonne)
1,2024,قفصة الشمالية,1900,39000,11500,130,38,1504,22,0,0,5,23600,1,30000,20,1,450,84,3
2,2024,سيدي عيش,2800,23000,5000,-,40,180,97,,0,1,-,0,0,0,0,300,40,4
3,2024,القصر,950,20000,2500,110,9,187,3,3,30000,2,960,1,20000,35,1,200,65,3
4,2024,قفصة الجنوبية,1800,25000,11500,260,16,189,0,4,66000,8,43800,0,0,50,2,550,77,2
5,2024,أم العرائس,450,18000,9000,105,0,0,0,,0,18,71690,0,0,,,350,110,2
6,2024,الرديف,320,12000,4500,35,1,14,0,,0,8,37600,0,0,,,200,68,1
7,2024,المتلوى,350,10000,6000,145,0,0,0,,0,15,36860,0,0,37,1,250,66,3
8,2024,المظيلة,150,20000,1000,250,0,0,0,,0,0,0,0,0,0,0,200,50,4
9,2024,القطار,400,20000,13000,-,1,12,0,,0,0,0,0,0,42,1,300,78,3
10,2024,بلخير,630,25000,16500,-,14,295,12,,0,13,35800,0,0,,,350,76,2
11,2024,السند ,800,8000,5000,-,13,107,0,,0,49,229340,0,0,0,0,140,77,2
12,2024,زانوش,1000,20000,6000,95,6,100,,,,35,220000,,,,,60,30,1
13,2024,سيدي بوبكر,1300,10000,8500,70,,,,,,,,,,,,,,
14,2024,كامل الولاية,12850,250000,100000,1200,138,2588,134,7,96000,154,699650,2,50000,184,6,3350,821,30
