_id,Annee,Delegation,Bovins (femelle productive),Nombre des ovins,Nombre des caprins
1,2020,القيروان الشمالية,3600,45000,2862
2,2020,القيروان الجنوبية,5300,70000,5725
3,2020,الشبيكة,2700,55000,1830
4,2020,الشراردة,1600,34000,1717
5,2020,العلا,3200,45000,2862
6,2020,السبيخة,8500,80000,2060
7,2020,حفوز,2400,60000,5152
8,2020,حاجب العيون,3300,70000,5152
9,2020,بوحجلة,3800,60000,3890
10,2020,نصرالله,1900,50000,3435
11,2020,الوسلاتية,2400,150000,29425
12,2020,المجموع,38700,719000,64110
13,2021,القيروان الشمالية,3600,45000,2862
14,2021,القيروان الجنوبية,5300,70000,5725
15,2021,الشبيكة,2700,55000,1830
16,2021,الشراردة,1600,34000,1717
17,2021,العلا,3200,45000,2862
18,2021,السبيخة,8500,80000,2060
19,2021,حفوز,2400,60000,5152
20,2021,حاجب العيون,3300,70000,5152
21,2021,بوحجلة,3800,60000,3890
22,2021,نصرالله,1900,50000,3435
23,2021,الوسلاتية,2400,150000,29425
24,2021,المجموع,38700,719000,64110
25,2022,القيروان الشمالية,3600,45000,2862
26,2022,القيروان الجنوبية,5300,70000,5725
27,2022,الشبيكة,2700,55000,1830
28,2022,الشراردة,1600,34000,1717
29,2022,العلا,3200,45000,2862
30,2022,السبيخة,8500,80000,2060
31,2022,حفوز,2400,60000,5152
32,2022,حاجب العيون,3300,70000,5152
33,2022,بوحجلة,3800,60000,3890
34,2022,نصرالله,1900,50000,3435
35,2022,الوسلاتية,2400,150000,29425
36,2022,المجموع,38700,719000,64110
37,2023,القيروان الشمالية,3600,45000,2862
38,2023,القيروان الجنوبية,5300,70000,5725
39,2023,الشبيكة,2700,55000,1830
40,2023,الشراردة,1600,34000,1717
41,2023,العلا,3200,45000,2862
42,2023,السبيخة,8500,80000,2060
43,2023,حفوز,2400,60000,5152
44,2023,حاجب العيون,3300,70000,5152
45,2023,بوحجلة,3800,66800,3890
46,2023,نصرالله,1900,50000,3435
47,2023,الوسلاتية,2400,150000,29425
48,2023,المجموع,38700,725800,64110
49,2024,القيروان الشمالية,1300,42000,2600
50,2024,القيروان الجنوبية,4000,65000,5300
51,2024,الشبيكة,1450,51000,1800
52,2024,الشراردة,900,30000,1500
53,2024,العلا,1250,42000,2700
54,2024,السبيخة,6300,74000,2100
55,2024,حفوز,1000,55000,4800
56,2024,حاجب العيون,1350,65000,4700
57,2024,بوحجلة,2250,60000,3500
58,2024,نصرالله,400,47000,3300
59,2024,الوسلاتية,1000,140000,27400
60,2024,المجموع,21200,671000,59700
