_id,Annee,Delegation,Cheptel bovin_Nombre femelles productive,Cheptel Ovin_Nombre femelles productives,Cheptel Caprin_Nombre femelles productives
1,2022,القصرين الشمالية,300,7000,800
2,2022,القصرين الجنوبية,300,37000,7000
3,2022,الزهور,0,500,600
4,2022,حاسي الفريد,850,44500,4200
5,2022,سبيطلة,1200,45500,8700
6,2022,سبيبة,230,30000,5200
7,2022,جدليان,230,9500,2700
8,2022,العيون,190,27500,4200
9,2022,تالة,350,37000,4200
10,2022,حيدرة,100,23500,5700
11,2022,فوسانة,400,43500,5700
12,2022,فريانة,850,47000,10000
13,2022,ماجل بلعباس,1200,45500,9000
14,2022,المجموع,6200,398000,68000
15,2023,القصرين الشمالية,300,6500,500
16,2023,القصرين الجنوبية,300,35000,5000
17,2023,الزهور,0,500,500
18,2023,حاسي الفريد,850,40500,3000
19,2023,سبيطلة,900,42000,8000
20,2023,سبيبة,230,28000,4000
21,2023,جدليان,230,9000,2000
22,2023,العيون,190,25500,3000
23,2023,تالة,350,35000,3000
24,2023,حيدرة,100,21500,5000
25,2023,فوسانة,400,40500,5000
26,2023,فريانة,850,44000,8000
27,2023,ماجل بلعباس,1000,42000,8000
28,2023,المجموع,5700,370000,55000
29,2024,القصرين الشمالية,250,6000,500
30,2024,القصرين الجنوبية,350,32000,4500
31,2024,الزهور,0,500,500
32,2024,حاسي الفريد,1000,37000,2500
33,2024,سبيطلة,1100,37000,7500
34,2024,سبيبة,240,24000,3700
35,2024,جدليان,230,8000,1800
36,2024,العيون,240,22000,2700
37,2024,تالة,400,32000,2500
38,2024,حيدرة,140,18000,4500
39,2024,فوسانة,400,34500,4500
40,2024,فريانة,900,41000,7300
41,2024,ماجل بلعباس,1000,38000,7500
42,2024,المجموع,6250,330000,50000
