_id,Annee,Delegation,Aviculture_en_milles_unites,Cunicultures_unite,Apiculture_ruche
1,2016,MANOUBA,0,0,0
2,2016,DOUAR HICHER,0,0,0
3,2016,OUED ELLIL,981.55,84,550
4,2016,MORNAGUIA,1346.487,270,162
5,2016,BORJ EL AMRI,448.34,7,563
6,2016,DJEDAIDA,912.585,1250,670
7,2016,TEBOURBA,3371.35,24,2958
8,2016,EL BATTANE,292.767,91,564
9,2017,MANOUBA,,,
10,2017,DOUAR HICHER,,,
11,2017,OUED ELLIL,424.15,20,624
12,2017,MORNAGUIA,1346.487,70,126
13,2017,BORJ EL AMRI,448.34,8,670
14,2017,DJEDAIDA,872.585,1194,715
15,2017,TEBOURBA,3301.35,15,4135
16,2017,EL BATTANE,292.767,75,1235
17,2018,MANOUBA,,30,
18,2018,DOUAR HICHER,,,
19,2018,OUED ELLIL,424.15,60,664
20,2018,MORNAGUIA,1346.487,160,160
21,2018,BORJ EL AMRI,448.34,36,427
22,2018,DJEDAIDA,838,1150,437
23,2018,TEBOURBA,3313,30,3820
24,2018,EL BATTANE,293,170,827
25,2019,MANOUBA,,,
26,2019,DOUAR HICHER,,,
27,2019,OUED ELLIL,424.15,59,664
28,2019,MORNAGUIA,1346.487,178,22
29,2019,BORJ EL AMRI,448.34,0,593
30,2019,DJEDAIDA,872.505,640,494
31,2019,TEBOURBA,3371.35,97,4642
32,2019,EL BATTANE,292.767,120,827
33,2020,MANOUBA,0,0,0
34,2020,DOUAR HICHER,0,0,0
35,2020,OUED ELLIL,424,65,591
36,2020,MORNAGUIA,1346,200,30
37,2020,BORJ EL AMRI,348,33,345
38,2020,DJEDAIDA,873,762,460
39,2020,TEBOURBA,3256,83,4120
40,2020,EL BATTANE,293,133,693
41,2021,MANOUBA,0,0,0
42,2021,DOUAR HICHER,0,0,0
43,2021,OUED ELLIL,424.15,40,500
44,2021,MORNAGUIA,1346.487,148,0
45,2021,BORJ EL AMRI,347.34,0,578
46,2021,DJEDAIDA,872.585,524,380
47,2021,TEBOURBA,3256.35,0,3500
48,2021,EL BATTANE,963.767,70,827
49,2022,MANOUBA,,0,0
50,2022,DOUAR HICHER,,0,0
51,2022,OUED ELLIL,424.15,50,579
52,2022,MORNAGUIA,1346.487,108,311
53,2022,BORJ EL AMRI,310,120,475
54,2022,DJEDAIDA,872.585,24,
55,2022,TEBOURBA,3256.35,,3141
56,2022,EL BATTANE,292.767,5,785
57,2023,MANOUBA,,,60
58,2023,DOUAR HICHER,,,
59,2023,OUED ELLIL,424.15,37,400
60,2023,MORNAGUIA,1346.487,60,176
61,2023,BORJ EL AMRI,310,,300
62,2023,DJEDAIDA,872.585,34,436
63,2023,TEBOURBA,3256.35,,1570
64,2023,EL BATTANE,292.767,320,500
65,2024,MANOUBA,0,0,60
66,2024,DOUAR HICHER,0,0,0
67,2024,OUED ELLIL,404,40,366
68,2024,MORNAGUIA,1253,135,161
69,2024,BORJ EL AMRI,342,420,275
70,2024,DJEDAIDA,873,0,393
71,2024,TEBOURBA,3268,0,1437
72,2024,EL BATTANE,293,0,458
