_id,Annee,Delegation,Effectif_bovin_en_tete
1,2016,MANOUBA,128
2,2016,DOUAR HICHER,182
3,2016,OUED ELLIL,2283
4,2016,MORNAGUIA,2500
5,2016,BORJ EL AMRI,1878
6,2016,DJEDAIDA,4014
7,2016,TEBOURBA,2119
8,2016,EL BATTANE,3896
9,2017,MANOUBA,115
10,2017,DOUAR HICHER,175
11,2017,OUED ELLIL,1558
12,2017,MORNAGUIA,2250
13,2017,BORJ EL AMRI,1723
14,2017,DJEDAIDA,3906
15,2017,TEBOURBA,1907
16,2017,EL BATTANE,3666
17,2018,MANOUBA,98
18,2018,DOUAR HICHER,204
19,2018,OUED ELLIL,1355
20,2018,MORNAGUIA,2018
21,2018,BORJ EL AMRI,1993
22,2018,DJEDAIDA,3878
23,2018,TEBOURBA,2027
24,2018,EL BATTANE,2427
25,2019,MANOUBA,83
26,2019,DOUAR HICHER,201
27,2019,OUED ELLIL,1608
28,2019,MORNAGUIA,2465
29,2019,BORJ EL AMRI,1784
30,2019,DJEDAIDA,3944
31,2019,TEBOURBA,2306
32,2019,EL BATTANE,2309
33,2020,MANOUBA,92
34,2020,DOUAR HICHER,201
35,2020,OUED ELLIL,1642
36,2020,MORNAGUIA,3243
37,2020,BORJ EL AMRI,1559
38,2020,DJEDAIDA,4635
39,2020,TEBOURBA,2704
40,2020,EL BATTANE,2734
41,2021,MANOUBA,138
42,2021,DOUAR HICHER,179
43,2021,OUED ELLIL,1937
44,2021,MORNAGUIA,2478
45,2021,BORJ EL AMRI,2448
46,2021,DJEDAIDA,4707
47,2021,TEBOURBA,2785
48,2021,EL BATTANE,2178
49,2022,MANOUBA,150
50,2022,DOUAR HICHER,166
51,2022,OUED ELLIL,1974
52,2022,MORNAGUIA,2794
53,2022,BORJ EL AMRI,2344
54,2022,DJEDAIDA,4121
55,2022,TEBOURBA,2997
56,2022,EL BATTANE,2324
57,2023,MANOUBA,65
58,2023,DOUAR HICHER,146
59,2023,OUED ELLIL,1564
60,2023,MORNAGUIA,2330
61,2023,BORJ EL AMRI,2450
62,2023,DJEDAIDA,3772
63,2023,TEBOURBA,2946
64,2023,EL BATTANE,2377
65,2024,MANOUBA,60
66,2024,DOUAR HICHER,100
67,2024,OUED ELLIL,1582
68,2024,MORNAGUIA,1979
69,2024,BORJ EL AMRI,1795
70,2024,DJEDAIDA,3589
71,2024,TEBOURBA,2495
72,2024,EL BATTANE,1790
