_id,Annee,Delegation,ovin,caprin
1,2016,MANOUBA,1536,127
2,2016,DOUAR HICHER,1109,109
3,2016,OUED ELLIL,5003,577
4,2016,MORNAGUIA,14363,423
5,2016,BORJ EL AMRI,15827,687
6,2016,DJEDAIDA,12184,578
7,2016,TEBOURBA,13441,986
8,2016,EL BATTANE,18537,1513
9,2017,MANOUBA,1612,152
10,2017,DOUAR HICHER,1163,131
11,2017,OUED ELLIL,5247,540
12,2017,MORNAGUIA,15074,678
13,2017,BORJ EL AMRI,16588,792
14,2017,DJEDAIDA,12778,794
15,2017,TEBOURBA,14097,1188
16,2017,EL BATTANE,19441,1725
17,2018,MANOUBA,1032,130
18,2018,DOUAR HICHER,1931,209
19,2018,OUED ELLIL,5007,483
20,2018,MORNAGUIA,17502,844
21,2018,BORJ EL AMRI,21023,1458
22,2018,DJEDAIDA,15273,823
23,2018,TEBOURBA,20266,1748
24,2018,EL BATTANE,16666,1445
25,2019,MANOUBA,1120,94
26,2019,DOUAR HICHER,1549,31
27,2019,OUED ELLIL,5741,437
28,2019,MORNAGUIA,17791,807
29,2019,BORJ EL AMRI,22346,1368
30,2019,DJEDAIDA,19629,821
31,2019,TEBOURBA,23012,2129
32,2019,EL BATTANE,14812,1813
33,2020,MANOUBA,1456,85
34,2020,DOUAR HICHER,1726,96
35,2020,OUED ELLIL,7889,587
36,2020,MORNAGUIA,25339,1271
37,2020,BORJ EL AMRI,22569,1003
38,2020,DJEDAIDA,19632,1342
39,2020,TEBOURBA,24334,2352
40,2020,EL BATTANE,17055,1164
41,2021,MANOUBA,1407,156
42,2021,DOUAR HICHER,3107,167
43,2021,OUED ELLIL,10669,861
44,2021,MORNAGUIA,17595,1075
45,2021,BORJ EL AMRI,26637,1188
46,2021,DJEDAIDA,19498,1205
47,2021,TEBOURBA,32286,3542
48,2021,EL BATTANE,15801,1307
49,2022,MANOUBA,1642,71
50,2022,DOUAR HICHER,2396,318
51,2022,OUED ELLIL,10385,914
52,2022,MORNAGUIA,26085,1705
53,2022,BORJ EL AMRI,31393,1093
54,2022,DJEDAIDA,29162,1018
55,2022,TEBOURBA,38496,3339
56,2022,EL BATTANE,22941,1142
57,2023,MANOUBA,1433,91
58,2023,DOUAR HICHER,2261,382
59,2023,OUED ELLIL,10785,886
60,2023,MORNAGUIA,26215,1397
61,2023,BORJ EL AMRI,39176,1535
62,2023,DJEDAIDA,41480,1725
63,2023,TEBOURBA,41035,4502
64,2023,EL BATTANE,15115,1482
