_id,Annee,Delegation,Bovins (femelle productive),Ovins (femelle productive),Caprins (femelle productive),Camelides (femelle productive)
1,2018,Sfax Sud,1280,3300,280,5
2,2018,Sfax Ouest,33,200,180,0
17,2019,Sfax Sud,1350,3660,252,5
18,2019,Sfax Ouest,34.65,220,162,0
33,2020,Sfax Sud,1300,3500,250,5
34,2020,Sfax Ouest,40,250,200,0
49,2023,Sfax Centre,,,,
50,2023,Sfax Sud,1265,3525,200,5
51,2023,Sfax Ouest,0,277,150,0
66,2024,Sfax Centre,,,,
67,2024,Sfax Sud,800,3525,200,5
68,2024,Sfax Ouest,40,277,150,0
