_id,Annee,Delegation,Bovins (unite femelle),Ovins (unite femelle),Caprins (unite femelle),Camelides (unite femelle),None
1,2020,Carthage,8,120,,,
2,2020,Medina,,,,,
3,2020,Beb Bhar,,,,,
4,2020,Beb Souika,,,,,
5,2020,Omrane,12,128,25,,
6,2020,Omrane Supérieur,,,,,
7,2020,Ettahrir,,,,,
8,2020, Menzah,,,,,
9,2020,Cité Khadhra,,,,,
10,2020,Bardo,,,,,
11,2020,Sejoumi,16,472,60,,
12,2020,Ezzouhour,0,40,16,,
13,2020,Hrairia,332,3600,224,,
14,2020,Sidi Hassine,2292,5880,600,,
15,2020,Ouardia,4,160,60,,
16,2020,Kabaria,132,1280,145,,
17,2020,Sidi El Bechir,,,,,
18,2020,Jebel Jelloud,8,,,,
19,2020,La Goulette,6,96,,,
20,2020,Kram,88,344,25,4,
21,2020,La marsa,535,680,120,8,
22,2020,TOTAL   ,3440,12800,1275,12,
23,2021,Carthage,8,145,,,
24,2021,Medina,,,,,
25,2021,Beb Bhar,,,,,
26,2021,Beb Souika,,,,,
27,2021,Omrane,10,150,25,,
28,2021,Omrane Supérieur,,,,,
29,2021,Ettahrir,,,,,
30,2021, Menzah,,,,,
31,2021,Cité Khadhra,,,,,
32,2021,Bardo,,,,,
33,2021,Sejoumi,13,570,60,,
34,2021,Ezzouhour,6,50,15,,
35,2021,Hrairia,310,4320,220,,
36,2021,Sidi Hassine,2040,7050,600,,
37,2021,Ouardia,4,190,60,,
38,2021,Kabaria,120,1530,150,,
39,2021,Sidi El Bechir,,,,,
40,2021,Jebel Jelloud,8,,,,
41,2021,La Goulette,0,120,,,
42,2021,Kram,80,410,25,4,
43,2021,La marsa,495,815,120,8,
44,2021,TOTAL   ,3100,15350,1275,12,
45,2022,Carthage,8,150,,,
46,2022,Medina,,,,,
47,2022,Beb Bhar,,,,,
48,2022,Beb Souika,,,,,
49,2022,Omrane,10,160,25,,
50,2022,Omrane Supérieur,,,,,
51,2022,Ettahrir,6,,,,
52,2022, Menzah,,,,,
53,2022,Cité Khadhra,,,,,
54,2022,Bardo,,,,,
55,2022,Sejoumi,12,560,50,,
56,2022,Ezzouhour,6,50,15,,
57,2022,Hrairia,290,4360,200,,
58,2022,Sidi Hassine,1955,7120,600,,
59,2022,Ouardia,4,200,50,,
60,2022,Kabaria,120,1560,120,,
61,2022,Sidi El Bechir,,,,,
62,2022,Jebel Jelloud,8,,,,
63,2022,La Goulette,0,120,,,
64,2022,Kram,60,440,25,4,
65,2022,La marsa,471,880,115,8,
66,2022,TOTAL   ,2950,15600,1200,12,
67,2023,Carthage,0,150,,,
68,2023,Medina,,,,,
69,2023,Beb Bhar,,,,,
70,2023,Beb Souika,,,,,
71,2023,Omrane,10,160,25,,
72,2023,Omrane Supérieur,,,,,
73,2023,Ettahrir,6,,,,
74,2023, Menzah,,,,,
75,2023,Cité Khadhra,,,,,
76,2023,Bardo,,,,,
77,2023,Sejoumi,0,600,50,,
78,2023,Ezzouhour,6,50,15,,
79,2023,Hrairia,290,4400,200,,
80,2023,Sidi Hassine,1915,7160,585,,
81,2023,Ouardia,4,200,50,,
82,2023,Kabaria,100,1600,120,,
83,2023,Sidi El Bechir,,,15,,
84,2023,Jebel Jelloud,8,200,,,
85,2023,La Goulette,17,160,,,
86,2023,Kram,80,440,25,4,
87,2023,La marsa,424,880,115,8,
88,2023,TOTAL   ,2860,16000,1200,12,
89,2024,Carthage,0,150,,,
90,2024,Medina,,,,,
91,2024,Beb Bhar,,,,,
92,2024,Beb Souika,,,,,
93,2024,Omrane,14,160,25,,
94,2024,Omrane Supérieur,,,,,
95,2024,Ettahrir,6,,,,
96,2024, Menzah,,,,,
97,2024,Cité Khadhra,,,,,
98,2024,Bardo,,,,,
99,2024,Sejoumi,0,600,50,,
100,2024,Ezzouhour,4,50,15,,
101,2024,Hrairia,288,4400,200,,
102,2024,Sidi Hassine,1910,7160,585,,
103,2024,Ouardia,0,200,50,,
104,2024,Kabaria,80,1600,120,,
105,2024,Sidi El Bechir,,,15,,
106,2024,Jebel Jelloud,8,200,,,
107,2024,La Goulette,16,160,,,
108,2024,Kram,72,440,25,4,
109,2024,La marsa,252,880,115,8,
110,2024,TOTAL   ,2650,16000,1200,12,
