_id,Annee,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,Tunis,5860,4240,,5790,,5610,5280,4960,4830,4660,4940,4210,4450,4520,4800,4800,4630,5630,5550,5080,4590,4540,5290,5480,4690,5100
2,Ariana,43070,42490,,36460,,39950,43780,45260,20760,25010,21430,22000,22060,21770,24740,24740,21710,22370,21200,22940,24830,25050,24600,24900,20000,15000
4,Ben Arous,15560,16240,,14850,,14880,15900,15900,15900,16300,15950,15950,13770,12790,11440,11440,9790,9520,9790,10290,7500,13110,9590,8240,8230,7830
5,Nabeul,119750,76530,,41310,,82510,84620,84220,84550,87970,86120,71900,73000,70380,66680,66680,62750,64090,63830,64710,64697,65030,65090,63200,58500,55400
6,Bizerte,76280,122000,,129430,,141330,127180,117880,114910,106460,84660,78430,88310,97540,95540,95540,86610,83390,83180,83200,78640,77880,72250,73650,74040,73170
7,Béja,90600,82000,,79890,,90570,88810,97840,99840,92360,84400,92200,95940,97650,101180,101180,96250,92340,84710,80790,75900,77580,79590,78350,75490,75040
8,Jendouba,66400,65000,,89960,,71940,76550,80700,81030,85290,86620,87750,89070,88770,91560,91560,94800,97250,98900,99100,92780,96380,95240,93350,90900,78730
10,Siliana,33810,54000,,41950,,40380,38270,48670,46520,42470,35150,31570,33620,35420,36590,36590,38600,39540,37500,36960,41300,45000,39000,38750,29500,19000
11,Zaghouan,15750,14660,,20050,,20240,21670,22290,22790,21940,20430,20510,21010,25440,26550,26550,28330,26870,27210,26250,25440,25680,24430,23910,23470,22480
12,Sousse,13500,12240,,12390,,12850,12550,12940,11770,10820,8010,8340,9670,11460,13370,13370,11760,11030,10340,11810,11490,10350,10720,10480,10400,10100
13,Monastir,24340,15150,,15230,,14690,18690,18830,20650,20590,18520,20120,23110,21790,21910,21910,15200,10750,9480,9570,12930,15800,16280,17080,14460,16340
14,Mahdia,11570,26060,,26660,,31890,36390,41870,42220,43910,44010,31990,31990,32120,33790,33790,33400,32030,31950,32020,32050,32290,36610,37320,37480,35230
15,Sfax,12640,21490,,23540,,21460,28800,30020,31500,30700,26610,28570,29960,32200,30050,30050,27960,26950,26000,24000,24000,23730,24090,23500,23540,23490
16,Kairouan,50090,52250,,43960,,52340,54900,45750,41380,42550,38170,37550,37900,36040,36780,36780,35720,35590,35040,34880,35560,38050,38680,38750,38870,38910
17,Kasserine,7940,7570,,11860,,15950,15510,16280,15680,14430,11970,13830,13820,12630,11980,11980,9480,9850,9730,10110,13250,13610,14630,15500,17100,15530
18,Sidi Bouzid,9350,9400,,20670,,19270,25220,27090,27630,272920,27660,27870,28470,30870,32680,32680,33630,34330,35920,38080,41730,46540,60000,61800,53800,41000
19,Gafsa,3160,3160,,3560,,3960,8500,7500,8600,8390,7860,8120,10380,10400,9970,9970,8960,10490,11200,12410,10460,10540,14030,15400,13570,13700
20,Gabès,2860,2860,,4520,,4990,5490,5830,6680,6180,7160,7710,9440,10060,10220,10220,10480,10460,9490,9420,6450,7120,8130,7370,6626,6000
22,Tozeur,1240,1150,,1240,,1440,1510,1510,1910,1920,1750,1660,1600,1350,1150,1150,960,800,700,670,660,1010,1040,740,1060,610
23,Kébili,100,100,,270,,210,240,340,390,620,640,630,640,790,690,690,750,890,670,670,530,480,490,460,420,420
