_id,Annee,Race bovine,Nombre de tetes_1000 unites
5,2014,أبقار واراخي عشر أصيلة,240
6,2014,أبقار واراخي عشر سلالات أخرى,198
7,2014,أبقار اخرى,234
8,2014,عدد الأبقار,672
9,2015,أبقار واراخي عشر أصيلة,259
10,2015,أبقار واراخي عشر سلالات أخرى,190
11,2015,أبقار اخرى,231
12,2015,عدد الأبقار,680
13,2016,أبقار واراخي عشر أصيلة,266
14,2016,أبقار واراخي عشر سلالات أخرى,192
15,2016,أبقار اخرى,228
16,2016,عدد الأبقار,686
17,2017,أبقار واراخي عشر أصيلة,253
18,2017,أبقار واراخي عشر سلالات أخرى,185
19,2017,أبقار اخرى,209
20,2017,عدد الأبقار,647
21,2018,أبقار واراخي عشر أصيلة,241
22,2018,أبقار واراخي عشر سلالات أخرى,159
23,2018,أبقار اخرى,194
24,2018,عدد الأبقار,594
25,2019,أبقار واراخي عشر أصيلة,227
26,2019,أبقار واراخي عشر سلالات أخرى,183
27,2019,أبقار اخرى,
28,2019,عدد الأبقار,410
29,2020,أبقار واراخي عشر أصيلة,227.5
30,2020,أبقار واراخي عشر سلالات أخرى,182
31,2020,أبقار اخرى,
32,2020,عدد الأبقار,409.5
33,2021,أبقار واراخي عشر أصيلة,237.2
34,2021,أبقار واراخي عشر سلالات أخرى,179.5
35,2021,أبقار اخرى,
36,2021,عدد الأبقار,416.7
37,2022,أبقار واراخي عشر أصيلة,224.2
38,2022,أبقار واراخي عشر سلالات أخرى,164.1
39,2022,أبقار اخرى,
40,2022,عدد الأبقار,388.29999999999995
