_id,Annee,Delegation_Fr,Delegation_Ar,Nombre_femelle_productive,None
1,2016,Sousse Medina,سوسة المدينة,0,
2,2016,Sousse Riadh,سوسة الرياض,200,
3,2016,Sousse Jawhara,سوسة الجوهرة,250,
5,2016,Hammam Sousse,حمام سوسة,100,
17,2017,Sousse Medina,سوسة المدينة,0,
18,2017,Sousse Riadh,سوسة الرياض,350,
19,2017,Sousse Jawhara,سوسة الجوهرة,175,
21,2017,Hammam Sousse,حمام سوسة,150,
33,2018,Sousse Medina,سوسة المدينة,0,
34,2018,Sousse Riadh,سوسة الرياض,350,
35,2018,Sousse Jawhara,سوسة الجوهرة,175,
37,2018,Hammam Sousse,حمام سوسة,150,
49,2019,Sousse Medina,سوسة المدينة,0,
50,2019,Sousse Riadh,سوسة الرياض,350,
51,2019,Sousse Jawhara,سوسة الجوهرة,175,
53,2019,Hammam Sousse,حمام سوسة,100,
65,2020,Sousse Medina,سوسة المدينة,0,
66,2020,Sousse Riadh,سوسة الرياض,400,
67,2020,Sousse Jawhara,سوسة الجوهرة,150,
69,2020,Hammam Sousse,حمام سوسة,200,
81,2021,Sousse Medina,سوسة المدينة,,
82,2021,Sousse Riadh,سوسة الرياض,400,
83,2021,Sousse Jawhara,سوسة الجوهرة,150,
85,2021,Hammam Sousse,حمام سوسة,200,
97,2022,Sousse Medina,سوسة المدينة,,
98,2022,Sousse Riadh,سوسة الرياض,350,
99,2022,Sousse Jawhara,سوسة الجوهرة,,
101,2022,Hammam Sousse,حمام سوسة,300,
113,2023,Sousse Medina,سوسة المدينة,50,
114,2023,Sousse Riadh,سوسة الرياض,350,
115,2023,Sousse Jawhara,سوسة الجوهرة,250,
117,2023,Hammam Sousse,حمام سوسة,400,
