_id,Annee,Delegation,Viandes_rouges (Tonne),Viandes blanche (Tonne),Lait (Tonne),Miel (Tonne),OEufs (million),Laine (Tonne)
1,2020,باجة الشمالية,1832,0,20700,8,,
2,2020,باجة الجنوبية,1508,30,29400,8,,
3,2020,مجاز الباب,1045,22200,7900,6,,
4,2020,قبلاط,1057,1500,5000,8,,
5,2020,تستور,923,14270,8100,10,108,
6,2020,تبرسق,1039,0,7150,12,,
7,2020,تيبار ,520,0,7950,8,,
8,2020,عمدون,1207,0,16150,25,,
9,2020,نفزة,1269,0,9650,25,,
10,2020,كامل الولاية,10400,38000,112000,110,108,
11,2021,باجة الشمالية,1842,0,20850,8,,
12,2021,باجة الجنوبية,1514,20,29400,8,,
13,2021,مجاز الباب,1055,21000,8000,6,,
14,2021,قبلاط,1062,1480,5050,8,,
15,2021,تستور,936,12500,8170,10,80,
16,2021,تبرسق,1058,0,7200,12,,
17,2021,تيبار ,535,0,8080,8,,
18,2021,عمدون,1242,0,16300,20,,
19,2021,نفزة,1316,0,9750,20,,
20,2021,كامل الولاية,10560,35000,112800,100,80,
21,2022,باجة الشمالية,1810,0,22000,6,,
22,2022,باجة الجنوبية,1495,,28000,6,,
23,2022,مجاز الباب,987,22000,7000,6,,
24,2022,قبلاط,1022,2000,5000,7,,
25,2022,تستور,884,14500,8000,8,68,
26,2022,تبرسق,1012,0,7000,10,,
27,2022,تيبار ,485,0,7000,8,,
28,2022,عمدون,1120,0,12000,18,,
29,2022,نفزة,1195,0,9000,18,,
30,2022,كامل الولاية,10010,38500,105000,87,68,
31,2023,باجة الشمالية,1721,0,18000,,,
32,2023,باجة الجنوبية,1426,,16000,,,
33,2023,مجاز الباب,949,12000,5100,,,
34,2023,قبلاط,990,2000,2900,,,
35,2023,تستور,777,32000,4400,,,
36,2023,تبرسق,925,0,6000,,,
37,2023,تيبار ,455,0,5800,,,
38,2023,عمدون,1104,0,11000,,,
39,2023,نفزة,1152,0,8000,,,
40,2023,كامل الولاية,9499,46000,77200,60,111.5,
41,2024,باجة الشمالية,1240,0,20000,5,,55
42,2024,باجة الجنوبية,1050,,14000,2,,50
43,2024,مجاز الباب,450,10175,6000,2,,75
44,2024,قبلاط,350,7700,3500,1,,90
45,2024,تستور,450,14125,5000,3,92810690,45
46,2024,تبرسق,430,0,7000,8,,60
47,2024,تيبار ,380,0,6000,4,,15
48,2024,عمدون,800,0,16000,13,,30
49,2024,نفزة,800,0,13000,12,,35
50,2024,كامل الولاية,5950,32000,90500,50,92810690,455
