_id,Annee,Delegation,Bovins,Ovins,Caprins,Camelins,Ruches,Poules_pondeuses,Poulets_chair,Unites_cunicoles,Nbre_lapines
1,2024,قابس المدينة,2399,7300,1200,0,410,0,0,0,50
2,2024,قابس الغربية,1122,19000,5000,18,420,50000,0,6,100
3,2024,قابس الجنوبية,3991,28000,9000,0,510,114000,0,5,100
4,2024,غنوش,206,10000,3000,0,210,0,0,3,50
5,2024,المطوية,190,10000,3000,5,210,0,189900,3,100
6,2024,وذرف,51,24000,9000,27,210,,,,
7,2024,منزل الحبيب,0,60000,20000,26,0,50000,0,1,200
8,2024,الحامة,366,75000,25000,,210,0,72000,6,150
9,2024,الحامة الغربية,135,80000,30000,1000,160,,,,
10,2024,مطماطة القديمة,0,17000,8000,0,1280,0,0,4,100
11,2024,مطماطة الجديدة,6,25000,20000,0,1240,0,0,3,200
12,2024,مارث,374,75000,30000,603,980,20000,165000,1,200
13,2024,دخيلة توجان,0,25000,18000,23,1060,0,0,4,50
14,2024,المجموع,8840,455300,181200,1702,6900,234000,426900,36,1300
