_id,Campagne,Delegation,Arrondissement,Bovin_race_pure,Bovin_race_locale_et_croisee,Nombre_eleveurs_bovins,Ovin,Nombre_eleveurs_ovin,caprin,Nombre_eleveurs_caprin,Camelides,Nombre_eleveurs_camelides,Equine_race_pure,Equine_race_locale_et_croisee,Nombre_eleveur_equine,Anes_et_mules,Nombre_eleveurs_anes_et_mules,Chien,Nombre_eleveur_chien
1,2020-2021,قابـس المدينة,المنطقة1,1009,0,80,1200,40,225,40,0,0,2,8,10,20,18,100,80
2,2020-2021,قابـس المدينة,المنطقة2,268,0,24,1269,45,234,45,0,0,2,18,18,30,30,100,80
3,2020-2021,قابـس المدينة,المنطقة3,148,,20,1664,127,441,127,0,0,0,0,0,0,0,50,30
4,2020-2021,قابـس المدينة,المنطقة4,0,,0,0,0,0,0,0,0,0,0,0,0,0,50,30
5,2020-2021,قابـس المدينة,شط سيدي عبد السلام,688,0,58,2264,133,315,133,0,0,3,17,19,20,17,100,80
6,2020-2021,قابـس الغربية,شنني الشمالية,0,0,0,577,53,251,53,0,0,5,15,18,60,55,100,85
7,2020-2021,قابـس الغربية,شنني الشرقية,383,0,37,3328,234,1020,234,0,0,5,35,34,60,50,100,85
8,2020-2021,قابـس الغربية,شنني الغربية,0,0,0,9,2,26,2,0,0,4,15,18,40,30,100,85
9,2020-2021,قابـس الغربية,النحال,9,0,2,383,43,134,43,0,0,2,5,7,10,8,100,85
10,2020-2021,قابـس الغربية,الجواولة,72,0,4,1296,86,352,86,0,0,1,45,45,20,18,100,85
11,2020-2021,قابـس الغربية,الرماثي,11,0,2,6302,477,2790,477,0,0,1,5,5,20,20,100,85
12,2020-2021,قابـس الغربية,بوشمة,303,0,30,5561,365,1883,365,0,0,3,25,20,70,65,100,90
13,2020-2021,قابـس الجنوبية,المدو,87,0,3,4210,276,2060,276,0,0,2,2,4,40,35,200,180
14,2020-2021,قابـس الجنوبية,الموازير,0,0,0,2418,169,705,169,0,0,1,2,3,20,18,150,130
15,2020-2021,قابـس الجنوبية,تبلبو,2653,0,174,14982,560,4423,560,2,1,4,20,22,115,113,300,270
16,2020-2021,قابـس الجنوبية,ليماوة,326,0,21,5104,146,1070,146,0,0,2,8,9,40,40,100,80
17,2020-2021,قابـس الجنوبية,المنطقة5,217,0,15,339,17,63,17,0,0,1,3,4,5,5,50,30
18,2020-2021,قابـس الجنوبية,سيدي بولبابة,0,0,0,62,4,63,4,0,0,1,5,6,5,5,50,30
19,2020-2021,قابـس الجنوبية,زريق   الدخلانية,39,0,7,879,43,311,43,0,0,1,3,4,5,5,50,30
20,2020-2021,غنوش,غنوش الغربية,44,0,2,3175,180,1367,180,0,0,5,8,13,30,25,120,100
21,2020-2021,غنوش,غنوش الجنوبية,0,0,0,2299,163,524,163,0,0,2,10,10,20,15,70,60
22,2020-2021,غنوش,غنوش الشرقية,0,0,0,1890,180,449,180,0,0,2,7,8,25,20,80,70
23,2020-2021,غنوش,غنوش الشمالية,118,0,7,4985,296,1256,296,0,0,1,5,6,25,20,130,120
24,2020-2021,وذرف,وذرف الشمالية,27,0,4,4397,244,710,244,0,0,2,5,8,12,11,30,26
25,2020-2021,وذرف,وذرف الجنوبية,0,0,0,3794,185,1051,185,0,0,1,5,2,8,4,20,14
26,2020-2021,وذرف,الميدة,0,0,0,8821,421,3715,421,0,0,2,15,14,50,40,150,130
27,2020-2021,وذرف,الهيشة,0,0,0,6891,722,3151,722,2,1,3,8,9,30,25,150,130
28,2020-2021,المطوية,المطوية الشمالية,84,0,14,3432,146,1065,146,0,0,2,7,7,18,14,75,60
29,2020-2021,المطوية,العكاريت,237,0,17,4828,324,2071,324,4,1,6,7,11,20,15,100,80
30,2020-2021,المطوية,المطوية الجنوبية,0,0,0,1791,199,911,199,2,1,2,5,6,12,11,75,60
31,2020-2021,منزل الحبيب,منزل الحبيب,0,0,0,13716,383,4204,383,11,1,3,5,7,50,45,80,70
32,2020-2021,منزل الحبيب,السقي,0,0,0,12436,250,4712,250,11,3,2,15,15,50,48,100,90
