_id,Annee,Delegation,Nombre de tetes bovines,Nombre de femelles bovines productrices,Nombre des eleveurs,Nombre de tetes ovines,Nombre de femelles ovines productrices,Nombre de tetes caprines,Nombre de femelles caprines productrices,Nombre des eleveurs ovins et caprins,nombre de tetes de camelins,Nombre de femelles productrices de camelins,Nombre des eleveurs de camelins,Nombre de tetes de chevaux de race pure,Nombre de tetes de chevaux (barbarine et mixte),Nombr de tetes des anes et mules,Nombre de tetes de chiens
1,2024,قفصة الشمالية,1900,1300,230,39000,27000,11500,7000,1600,130,106,5,10,115,290,1614
2,2024,سيدي عيش,2800,1900,420,23000,15000,5000,3000,810,-,-,-,14,130,95,506
3,2024,القصر ,950,600,150,20000,13000,2500,1500,850,110,83,3,2,20,85,633
4,2024,قفصة الجنوبية,1800,1200,320,25000,16000,11500,7000,1200,260,174,22,15,132,280,1899
5,2024,أم العرائس,450,320,90,18000,11000,9000,5500,1100,105,88,15,3,50,25,400
6,2024,الرديف,320,180,52,12000,7500,4500,3000,620,35,26,1,2,30,65,506
7,2024,المتلوي,350,200,70,10000,6500,6000,3500,570,145,87,1,2,25,55,1266
8,2024,المظيلة,150,90,20,20000,12500,1000,650,700,250,172,8,0,20,55,601
9,2024,القطار,400,250,80,20000,13500,13000,8000,1250,-,-,-,0,25,70,601
10,2024,بلخير,630,280,150,25000,16500,16500,10000,1320,-,-,-,0,15,110,348
11,2024,السند,800,500,180,8000,5000,5000,3000,420,-,-,-,8,28,120,450
12,2024,زانوش,1000,650,170,20000,14000,6000,3500,860,95,62,2,4,20,75,400
13,2024,سيدي بوبكر,1300,700,250,10000,7000,8500,5500,600,70,52,1,2,40,40,230
14,2024,الجملة,12850,8170,2182,250000,164500,100000,61150,11900,1200,850,58,62,650,1365,9454
