_id,Annee,Delegation,Bovin_race_pur,Bovin-race_locale_croises,Nbre_eleveur_bovin,Ovin,Caprin,Nbre_eleveur_ovin_caprin,Nbre_ruche_elevage_moderne,Nbre_eleveur_ruche_elevage_moderne,Nbre_ruche_elevage_traditionnel,Nbre_eleveur_ruche_elevage_traditionnel,Poule_pondeuse_mille_unite,Poulet_chair_mille_unite
1,2024,الكاف الشرقية,1300,1000,376,40000,3000,1166,326,27,4,1,1,44
2,2024,الكاف الغربية,325,220,122,19500,2500,782,495,35,12,6,-,-
3,2024,االسرس,1654,1103,756,35024,1985,1471,116,17,-,-,7,-
4,2024,تاجروين,350,223,243,40260,6600,1505,1570,134,47,25,-,-
5,2024,القصور ,210,690,369,41500,2200,1330,440,39,30,8,-,-
6,2024,الدهماني ,660,1000,606,40800,3800,1120,525,23,-,-,-,-
7,2024,نبر,1652,2490,1201,25000,3900,1133,1437,125,58,10,-,--
8,2024,الجريصة,10,30,19,9000,1300,618,90,14,3,1,-,-
9,2024,ساقية سيدي يوسف,10,540,265,25000,7500,1347,470,67,70,14,-,-
10,2024,القلعة الخصباء,31,20,23,10000,2000,458,530,32,80,2,-,-
11,2024, قلعة سنان,120,80,90,33575,7241,1919,368,67,386,107,-,-
12,2024,الطويرف,370,670,320,17500,2300,750,425,23,-,-,-,-
13,2024,الجملة,6692,8066,4390,337159,44326,13599,6792,603,690,174,8,44
