_id,Annee,Delegation,Aviculture_1000_unites,Cuniculture_unites,Apiculture_ruches,Bovins_nombre_tete,Ovins_nombre_tete,caprins_nombre_tete,Camelides_nombre_tete,Code_geographique
1,2014,أريانة المدينة,0,0,0,-,0,0,0,1251
2,2014,سكرة,0,50,ـ,4040.3225806451615,359.12118032786884,0,0,1252
3,2014,رواد,26,100,311.1111111111111,3595.8870967741937,2956.8360655737706,355.55555555555554,0,1253
4,2014,قلعة الأندلس,10.275229357798166,150,933.3333333333334,10999.77822580645,17458.235344262295,1422.2222222222222,0,1254
5,2014,سيدي ثابت,284,200,1244.4444444444443,5643.320564516129,10552.14150819672,1244.4444444444443,0,1255
6,2014,حي التضامن,0,0,0,0,0,0,0,1256
7,2014,المنيهلة,ـ,0,311.1111111111111,770.6915322580645,1467.6659016393442,177.77777777777777,0,1257
8,2014,المجمـوع,320.27522935779814,500,2800,25050,32794,3200,0,
9,2015,أريانة المدينة,0,0,0,0,0,0,0,1251
10,2015,سكرة,3.5,40,1395,1500,400,0,0,1252
11,2015,رواد,0,0,1518,3470,1400,300,0,1253
12,2015,قلعة الأندلس,0,0,35,13000,17270,800,0,1254
13,2015,سيدي ثابت,1513,0,564,5600,11000,1000,0,1255
14,2015,حي التضامن,0,0,0,0,0,0,0,1256
15,2015,المنيهلة,0,ـ,200,1030,980,50,0,1257
16,2015,المجمـوع,1516.5,40,3712,24600,31050,2150,0,
17,2016,أريانة المدينة,0,0,0,0,0,0,0,1251
18,2016,سكرة,4,0,800,1840,334,150,0,1252
19,2016,رواد,0,0,400,2450,2750,150,0,1253
20,2016,قلعة الأندلس,0,0,400,13960,19387,968,0,1254
21,2016,سيدي ثابت,1996,0,1050,5290,8564,661,0,1255
22,2016,حي التضامن,0,0,0,0,0,0,0,1256
23,2016,المنيهلة,0,0,150,1360,1365,71,0,1257
24,2016,المجمـوع,2000,0,2800,24900,32400,2000,0,
25,2017,أريانة المدينة,0,0,0,20,200,0,0,1251
26,2017,سكرة,0,0,1200,1900,1000,200,0,1252
27,2017,رواد,0,0,850,2000,2000,200,0,1253
28,2017,قلعة الأندلس,0,0,700,12000,15500,1080,0,1254
29,2017,سيدي ثابت,1613,200,1592,3395,10315,711,0,1255
30,2017,حي التضامن,0,0,0,50,85,0,0,1256
31,2017,المنيهلة,0,0,150,635,850,59,0,1257
32,2017,المجمـوع,1613,200,4492,20000,29950,2250,0,
33,2018,أريانة المدينة,0,0,0,15,0,0,0,1251
34,2018,سكرة,0,0,1200,1425,2250,200,0,1252
35,2018,رواد,0,0,850,1500,4900,200,0,1253
36,2018,قلعة الأندلس,0,0,775,9000,15000,1100,0,1254
37,2018,سيدي ثابت,2000,0,1592,2545,9700,700,0,1255
38,2018,حي التضامن,0,0,0,0,0,0,0,1256
39,2018,المنيهلة,0,0,150,515,2650,50,0,1257
40,2018,المجمـوع,2000,0,4567,15000,34500,2250,0,
41,2019,أريانة المدينة,0,0,0,0,0,0,0,1251
42,2019,سكرة,0,0,1200,1310,818,211,0,1252
43,2019,رواد,0,0,850,1900,4211,227,0,1253
44,2019,قلعة الأندلس,0,0,775,10066,18836,758,0,1254
45,2019,سيدي ثابت,2000,200,1592,1837,11114,598,0,1255
46,2019,حي التضامن,0,0,0,0,0,0,0,1256
47,2019,المنيهلة,0,0,150,187,1837,306,0,1257
48,2019,المجمـوع,2000,200,4567,15300,36816,2100,0,
49,2020,أريانة المدينة,0,0,0,0,0,0,0,1251
50,2020,سكرة,0,0,1200,1300,760,230,0,1252
51,2020,رواد,0,0,850,1800,3240,270,0,1253
52,2020,قلعة الأندلس,0,0,775,11451,18424,904,0,1254
53,2020,سيدي ثابت,700,0,1592,1934,11491,951,0,1255
54,2020,حي التضامن,0,0,0,0,0,0,0,1256
55,2020,المنيهلة,0,0,150,335,2458,430,0,1257
56,2020,المجمـوع,700,0,4567,16820,36373,2785,0,
57,2021,أريانة المدينة,0,0,0,0,0,0,0,1251
58,2021,سكرة,0,0,1200,1350,800,230,0,1252
59,2021,رواد,0,0,850,2130,3300,270,0,1253
60,2021,قلعة الأندلس,0,0,775,11850,18500,950,0,1254
61,2021,سيدي ثابت,568,0,1517,1868,11235,740,0,1255
62,2021,حي التضامن,0,0,0,0,0,0,0,1256
63,2021,المنيهلة,0,0,150,332,2415,356,0,1257
64,2021,المجمـوع,568,0,4492,17530,36250,2546,0,
65,2022,أريانة المدينة,0,0,0,0,0,0,0,1251
66,2022,سكرة,0,0,350,1064,1337,156,0,1252
67,2022,رواد,0,0,500,1737,5521,170,0,1253
68,2022,قلعة الأندلس,0,0,320,11427,23166,700,0,1254
69,2022,سيدي ثابت,661,60,300,2344,11545,437,0,1255
70,2022,حي التضامن,0,0,0,0,0,0,0,1256
71,2022,المنيهلة,0,0,0,414,2535,150,0,1257
72,2022,المجمـوع,661,60,1470,16986,44104,1613,0,
73,2023,أريانة المدينة,0,0,0,0,0,0,0,1251
74,2023,سكرة,0,0,350,945,1350,170,0,1252
75,2023,رواد,0,0,530,1751,6980,180,0,1253
76,2023,قلعة الأندلس,0,0,340,10679,24322,396,0,1254
77,2023,سيدي ثابت,794,78,280,1952,8370,450,0,1255
78,2023,حي التضامن,0,0,0,0,0,0,0,1256
79,2023,المنيهلة,0,0,0,673,3078,414,0,1257
80,2023,المجمـوع,794,78,1500,16000,44100,1610,0,
81,2024,أريانة المدينة,0,0,0,0,0,0,0,1251
82,2024,سكرة,0,0,630,768,1347,264,0,1252
83,2024,رواد,0,43,715,1423,6964,279,0,1253
84,2024,قلعة الأندلس,0,171,894,8676,24266,615,0,1254
85,2024,سيدي ثابت,794,0,793,1586,8351,698,0,1255
86,2024,حي التضامن,0,0,0,0,0,0,0,1256
87,2024,المنيهلة,0,0,0,547,3072,644,0,1257
88,2024,المجمـوع,794,214,3032,13000,44000,2500,0,
