_id,Annee,delegation,bovin,ovin,caprin,camelides,Apicultures (ruche),poules_pondeuses,poulet_chair,lapin,lapin_reproducteurs
1,2022,قبلي الجنوبية,82,40137,26948,1000,175,-,-,-,
2,2022,قبلي الشمالية,7,26889,17165,1400,,-,-,-,
3,2022,دوز الشمالية,17,71213,48236,3000,505,-,-,-,
4,2022,دوز الجنوبية,64,55751,37928,4200,,-,-,-,
5,2022,سوق الأحد,134,42895,27646,200,200,-,-,-,
6,2022,الفوار,10,61935,41100,1200,115,-,-,-,
7,2022,رجيم معتوق,0,14859,10096,2000,-,-,-,-,
8,2022,المجموع,314,313678,209119,13000,995,-,-,-,100 تربية  تقليدية  و 275 تربية عصرية 
9,2023,قبلي الجنوبية,130,32000,22000,1000,170,-,-,-,
10,2023,قبلي الشمالية,6,21000,13000,1400,,-,-,-,
11,2023,دوز الشمالية,76,49000,30000,200,194,-,-,-,
12,2023,دوز الجنوبية,23,62000,42000,3000,492,-,-,-,
13,2023,سوق الأحد,73,39000,27000,4200,,-,-,-,
14,2023,الفوار,36,56000,38000,1200,112,-,-,-,
15,2023,رجيم معتوق,6,13000,8000,2000,-,-,-,-,
16,2023,المجموع,350,272000,180000,13000,970,-,-,-,100 تربية تقليدية و 275 تربية عصرية
1048575,2023,,,,,,,,,,
